"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 21:19:27 GMT 2021","Mon Aug 09 21:19:44 GMT 2021","17110","test_conduit","conduit_test","TestCondiutApp","","","test_modify_article",""
"passed","Mon Aug 09 21:20:00 GMT 2021","Mon Aug 09 21:20:08 GMT 2021","7733","test_conduit","conduit_test","TestCondiutApp","","","test_logout",""
"passed","Mon Aug 09 21:19:15 GMT 2021","Mon Aug 09 21:19:24 GMT 2021","9117","test_conduit","conduit_test","TestCondiutApp","","","test_add_new_article",""
"passed","Mon Aug 09 21:19:11 GMT 2021","Mon Aug 09 21:19:12 GMT 2021","1107","test_conduit","conduit_test","TestCondiutApp","","","test_login",""
"passed","Mon Aug 09 21:20:10 GMT 2021","Mon Aug 09 21:21:13 GMT 2021","63897","test_conduit","conduit_test","TestCondiutApp","","","test_rsd_entry_from_file",""
"passed","Mon Aug 09 21:18:51 GMT 2021","Mon Aug 09 21:18:51 GMT 2021","6","test_conduit","conduit_test","TestCondiutApp","","","test__home_page_appearances",""
"passed","Mon Aug 09 21:18:53 GMT 2021","Mon Aug 09 21:19:01 GMT 2021","7374","test_conduit","conduit_test","TestCondiutApp","","","test_cookie_accept",""
"passed","Mon Aug 09 21:19:05 GMT 2021","Mon Aug 09 21:19:08 GMT 2021","3707","test_conduit","conduit_test","TestCondiutApp","","","test_sign_up",""
"broken","Mon Aug 09 21:19:47 GMT 2021","Mon Aug 09 21:19:57 GMT 2021","10046","test_conduit","conduit_test","TestCondiutApp","","","test_delete_article",""
"passed","Mon Aug 09 21:21:16 GMT 2021","Mon Aug 09 21:21:19 GMT 2021","3077","test_conduit","conduit_test","TestCondiutApp","","","test_save_data_from_web_to_file",""
